ID,NAME,RA,DEC,ra,dec,g,r, g-r,Opt_vel,C-c_dist,C-c/R200,delta_v,delta_v/vel_disp,Type_M,Type_H
,MCG -02-12-039,68.40768,-13.26194,4 33 37.84,-13 15 42.98,14.854,14.059,0.795,9835,0,0,-49,-0.07,M,-
,LEDA 093417,68.41113,-13.26373,4 33 38.67,-13 15 49.43,18.154,17.393,0.761,9814,0.01,0.01,-70,-0.1,M,-
,LEDA 3084811,68.40563,-13.25561,4 33 37.35,-13 15 20.2,18.608,17.869,0.739,9799,0.02,0.01,-85,-0.12,M,-
,SSTSL2 J043339.53-131611.4,68.41475,-13.27016,4 33 39.54,-13 16 12.58,17.746,17.282,0.464,9799,0.03,0.02,-85,-0.12,M,-
,APMUKS(BJ) B043119.09-132114.7,68.40925,-13.25019,4 33 38.22,-13 15 00.68,18.479,17.694,0.785,10286,0.03,0.02,402,0.59,M,-
,2MASX J04334167-1315520,68.42371,-13.26439,4 33 41.69,-13 15 51.8,17.222,16.455,0.767,9733,0.04,0.02,-151,-0.22,M,-
,2MASX J04333612-1314430,68.4005,-13.24525,4 33 36.12,-13 14 42.9,17.358,16.583,0.775,9415,0.04,0.03,-469,-0.68,M,-
,SSTSL2 J043339.72-131424.7,68.4155,-13.24017,4 33 39.72,-13 14 24.61,19.783,19.109,0.674,10141,0.06,0.03,257,0.38,M,-
,APMUKS(BJ) B043112.93-132132.8,68.38362,-13.25503,4 33 32.07,-13 15 18.11,17.97,17.243,0.728,9948,0.06,0.04,64,0.09,M,-
,APMUKS(BJ) B043123.00-132307.5,68.42542,-13.28158,4 33 42.1,-13 16 53.69,18.078,17.336,0.742,9573,0.06,0.04,-311,-0.45,M,-
,2MASX J04333619-1314100,68.40052,-13.23618,4 33 36.12,-13 14 10.25,17.208,16.441,0.767,9588,0.06,0.04,-296,-0.43,M,-
,2MASX J04333318-1317120,68.38821,-13.28683,4 33 33.17,-13 17 12.59,17.68,16.914,0.766,9873,0.08,0.05,-11,-0.02,M,-
1596,APMUKS(BJ) B043112.40-132309.4,68.38117,-13.28183,4 33 31.48,-13 16 54.59,17.826,17.134,0.692,9875,0.08,0.05,-9,-0.01,M,-
,SSTSL2 J043339.06-131319.7,68.41279,-13.22214,4 33 39.07,-13 13 19.7,20.068,19.353,0.714,10814,0.1,0.06,930,1.36,M,-
,2MASX J04334099-1318010,68.42067,-13.30039,4 33 40.96,-13 18 01.4,16.598,15.844,0.755,9576,0.1,0.06,-308,-0.45,M,-
,APMUKS(BJ) B043122.99-131913.3,68.42554,-13.21633,4 33 42.13,-13 12 58.79,18.952,18.288,0.664,10620,0.12,0.07,736,1.07,M,-
,NFP J043346.7-131756,68.44463,-13.29894,4 33 46.71,-13 17 56.18,17.648,16.908,0.741,8372,0.13,0.07,-1512,-2.21,M,-
,APMUKS(BJ) B043107.37-132332.9,68.36038,-13.28828,4 33 26.49,-13 17 17.81,18.884,18.206,0.678,8972,0.13,0.08,-912,-1.33,M,-
,APMUKS(BJ) B043114.50-132507.3,68.38971,-13.31461,4 33 33.53,-13 18 52.6,17.836,17.106,0.731,11773,0.13,0.08,1889,2.76,M,-
,APMUKS(BJ) B043106.24-132029.6,68.35583,-13.23739,4 33 25.4,-13 14 14.6,19.262,18.58,0.683,8375,0.14,0.08,-1509,-2.2,M,-
,2MASX J04335138-1314539,68.46408,-13.24825,4 33 51.38,-13 14 53.7,15.813,15.043,0.77,11250,0.14,0.08,1366,1.99,M,-
,APMUKS(BJ) B043133.69-132137.1,68.46988,-13.25661,4 33 52.77,-13 15 23.8,18.257,17.559,0.698,8913,0.15,0.09,-971,-1.42,M,-
,APMUKS(BJ) B043105.74-131957.8,68.35379,-13.2285,4 33 24.91,-13 13 42.6,18.703,18.026,0.677,9303,0.15,0.09,-581,-0.85,M,-
,APMUKS(BJ) B043117.27-132544.7,68.40113,-13.32527,4 33 36.27,-13 19 30.97,17.923,17.201,0.722,9583,0.15,0.09,-301,-0.44,M,-
,ABELL 0496:[SDG99]-SRC 1620,68.39392,-13.19364,4 33 34.54, -13 11 37.10,19.928,19.263,0.665,8444,0.17,0.1,-1440,-2.1,M,-
,2MASX J04334886-1312270,68.45367,-13.20742,4 33 48.88, -13 12 26.71,16.97,16.207,0.763,9792,0.17,0.1,-92,-0.13,M,-
,2MASX J04331924-1316344,68.33012,-13.27631,4 33 19.23, -13 16 34.72,16.209,15.447,0.762,11340,0.19,0.11,1456,2.13,M,-
,2MASX J04332154-1313140,68.33971,-13.22056,4 33 21.53, -13 13 14.02,16.352,15.625,0.727,9300,0.19,0.11,-584,-0.85,M,-
,2MASX J04334277-1320240,68.42812,-13.33992,4 33 42.75, -13 20 23.71,15.616,14.802,0.815,10189,0.19,0.12,305,0.45,M,-
,2MASX J04333962-1320320,68.41492,-13.34264,4 33 39.58, -13 20 33.50,16.329,15.564,0.764,8952,0.19,0.12,-932,-1.36,M,-
,APMUKS(BJ) B043058.60-132152.3,68.32396,-13.26017,4 33 17.75, -13 15 36.61,19.383,18.731,0.652,10877,0.2,0.12,993,1.45,M,-
,APMUKS(BJ) B043059.82-132342.6,68.32896,-13.29081,4 33 18.95, -13 17 26.92,19.206,18.52,0.686,8704,0.2,0.12,-1180,-1.72,M,-
no hay objeto en esa posicion,ABELL 0496:[DFL99] 273,68.40479,-13.17956,4 33 37.15, -13 10 46.42,-,-,-,9008,0.2,0.12,-876,-1.28,M,-
,APMUKS(BJ) B043103.98-132544.6,68.34578,-13.32499,4 33 22.99, -13 19 29.96,19.073,18.388,0.685,10548,0.21,0.13,664,0.97,M,-
,APMUKS(BJ) B043132.36-131748.6,68.46475,-13.19319,4 33 51.54, -13 11 35.48,19.481,18.906,0.575,9459,0.21,0.13,-425,-0.62,M,-
,SSTSL2 J043324.59-131112.0,68.35254,-13.18664,4 33 24.61, -13 11 11.90,20.125,19.447,0.678,9593,0.22,0.13,-291,-0.42,M,-
,GIN 195,68.38383,-13.17242,4 33 32.12, -13 10 20.71,15.609,14.838,0.771,8883,0.22,0.13,-1001,-1.46,M,-
,GIN 194,68.42316,-13.17007,4 33 41.56, -13 10 12.25,15.384,14.581,0.803,9715,0.22,0.13,-169,-0.25,M,-
,APMUKS(BJ) B043117.89-132739.2,68.40356,-13.35708,4 33 36.85, -13 21 25.49,18.933,18.256,0.678,9721,0.23,0.14,-163,-0.24,M,-
[SDG99]-SRC 1547,AGC 440535,68.34726,-13.33919,4 33 23.34, -13 20 21.08,16.887,16.38,0.508,10188,0.23,0.14,304,0.44,S,H
,APMUKS(BJ) B043137.85-132531.9,68.48686,-13.3221,4 33 56.85, -13 19 19.56,18.255,17.575,0.68,9577,0.24,0.14,-307,-0.45,M,-
,APMUKS(BJ) B043100.74-132553.3,68.33228,-13.32735,4 33 19.75, -13 19 38.46,18.715,18.003,0.713,9362,0.24,0.14,-522,-0.76,M,-
,APMUKS(BJ) B043142.42-132012.3,68.50654,-13.23325,4 34 01.57, -13 13 59.70,17.673,16.929,0.744,10262,0.25,0.15,378,0.55,M,-
[SDG99]-SRC 1834,6dF J0434020-131747,68.50833,-13.29638,4 34 02.00, -13 17 46.97,15.892,15.425,0.466,10347,0.25,0.15,463,0.68,S,H
,2MASX J04332047-1320504,68.33542,-13.34742,4 33 20.5, -13 20 50.71,17.505,16.762,0.743,10193,0.27,0.16,309,0.45,M,-
,2MASX J04340316-1313109,68.51329,-13.21961,4 34 03.19, -13 13 10.60,17.224,16.505,0.719,8961,0.27,0.16,-923,-1.35,M,-
[SDG99]-SRC 1457,APMUKS(BJ) B043051.78-132025.9,68.29539,-13.23623,4 33 10.89, -13 14 10.43,17.792,17.296,0.496,8991,0.28,0.17,-893,-1.3,S,Habn
,APMUKS(BJ) B043136.33-131638.3,68.48146,-13.17358,4 33 55.55, -13 10 24.89,19.843,19.216,0.627,8426,0.28,0.17,-1458,-2.13,M,-
,2MASX J04331444-1319494,68.31021,-13.33033,4 33 14.45, -13 19 49.19,17.486,16.776,0.71,11860,0.28,0.17,1976,2.88,M,-
,APMUKS(BJ) B043123.59-131501.0,68.42846,-13.14633,4 33 42.83, -13 08 46.79,17.914,17.25,0.664,10495,0.28,0.17,611,0.89,M,-
,APMUKS(BJ) B043110.56-131506.7,68.37413,-13.14769,4 33 29.79, -13 08 51.68,19.377,18.763,0.614,8641,0.28,0.17,-1243,-1.81,M,-
,2MASX J04340727-1315139,68.53029,-13.25454,4 34 07.27, -13 15 16.34,16.852,16.112,0.74,9415,0.29,0.18,-469,-0.68,M,-
,2MASX J04333393-1322510,68.39142,-13.38086,4 33 33.94, -13 22 51.10,16.538,15.745,0.794,10240,0.29,0.17,356,0.52,M,-
,2MASX J04333098-1322460,68.37904,-13.37944,4 33 30.97, -13 22 45.98,15.725,14.931,0.794,10296,0.29,0.17,412,0.6,M,-
,ABELL 0496:[SDG99]-SRC 1560,68.35458,-13.15183,4 33 25.1, -13 09 06.59,19.782,19.17,0.612,10413,0.29,0.18,529,0.77,M,-
,APMUKS(BJ) B043134.99-132831.4,68.47471,-13.37191,4 33 53.93, -13 22 18.88,18.87,18.175,0.695,9473,0.31,0.18,-411,-0.6,M,-
[SDG99]-SRC 1482,APMUKS(BJ) B043056.14-132734.2,68.31299,-13.35529,4 33 15.12, -13 21 19.04,18.044,17.762,0.282,10207,0.32,0.19,323,0.47,M,-
,2MASX J04340988-1314349,68.54121,-13.24303,4 34 09.89, -13 14 34.91,16.749,15.977,0.772,9941,0.32,0.19,57,0.08,M,-
,APMUKS(BJ) B043045.49-132214.6,68.26905,-13.26631,4 33 04.57, -13 15 58.72,19.251,18.709,0.542,8786,0.33,0.2,-1098,-1.6,M,-
,APMUKS(BJ) B043047.75-131855.1,68.27904,-13.21078,4 33 6.97, -13 12 38.81,18.087,17.405,0.682,8982,0.33,0.2,-902,-1.32,M,-
,2MFGC 03708,68.3205,-13.15178,4 33 16.92, -13 09 06.41,15.077,14.274,0.803,9767,0.34,0.2,-117,-0.17,M,-
,APMUKS(BJ) B043149.34-131804.8,68.53542,-13.19797,4 34 08.5, -13 11 52.69,19.277,18.612,0.665,9762,0.34,0.2,-122,-0.18,M,-
,APMUKS(BJ) B043153.55-132302.4,68.55245,-13.28087,4 34 12.59, -13 16 51.13,18.248,17.904,0.344,10452,0.35,0.21,568,0.83,M,-
no aper,LEDA 093407,68.38033,-13.12055,4 33 31.28, -13 07 13.98,-,-,-,10312,0.34,0.21,428,0.62,M,-
,2MASX J04331787-1322584,68.32454,-13.38297,4 33 17.89, -13 22 58.69,16.498,15.732,0.766,8139,0.35,0.21,-1745,-2.55,M,-
,APMUKS(BJ) B043153.92-131843.5,68.5545,-13.20878,4 34 13.08, -13 12 31.61,19.377,18.723,0.655,10199,0.37,0.22,315,0.46,M,-
,2MASX J04330006-1315594,68.25021,-13.26658,4 33 0.05, -13 15 59.69,15.829,15.043,0.785,11035,0.38,0.23,1151,1.68,M,-
1504,2MASX J04331793-1307524,68.32475,-13.13117,4 33 17.94, -13 07 52.21,16.706,16.017,0.689,9169,0.37,0.22,-715,-1.04,M,-
,ABELL 0496:[CCD2008] A1,68.54883,-13.19172,4 34 11.72, -13 11 30.19,20.845,20.194,0.651,10491,0.38,0.23,607,0.89,M,-
,2MASX J04330896-1321504,68.28737,-13.36403,4 33 08.97, -13 21 50.51,16.929,16.177,0.752,10334,0.38,0.23,450,0.66,M,-
,ABELL 0496:[SDG99]-SRC 1914,68.56058,-13.2175,4 34 14.54, -13 13 03.00,20.328,19.7,0.628,10905,0.38,0.23,1021,1.49,M,-
,2MASX J04333578-1325260,68.39895,-13.42386,4 33 35.75, -13 25 25.90,16.259,15.489,0.77,8075,0.39,0.23,-1809,-2.64,M,-
,APMUKS(BJ) B043112.42-133135.5,68.38047,-13.42262,4 33 31.31, -13 25 21.43,17.371,16.607,0.764,9793,0.39,0.23,-91,-0.13,M,-
,LEDA 093388,68.24542,-13.30542,4 32 58.9, -13 18 19.51,17.819,17.149,0.671,10338,0.4,0.24,454,0.66,M,-
,APMUKS(BJ) B043129.32-131212.0,68.45246,-13.09953,4 33 48.59, -13 05 58.31,18.755,18.104,0.652,9777,0.4,0.24,-107,-0.16,M,-
,APMUKS(BJ) B043126.38-131156.0,68.44029,-13.09506,4 33 45.67, -13 05 42.22,18.557,17.905,0.652,9770,0.41,0.24,-114,-0.17,M,-
,GIN 190,68.54349,-13.36996,4 34 10.44, -13 22 11.86,15.495,14.659,0.835,10428,0.41,0.25,544,0.79,M,-
,APMUKS(BJ) B043153.78-131615.3,68.55417,-13.16764,4 34 13.0, -13 10 03.50,17.708,16.999,0.709,10836,0.42,0.25,952,1.39,M,-
,2MASX J04325787-1312174,68.24112,-13.20481,4 32 57.87, -13 12 17.32,17.205,16.941,0.264,10608,0.42,0.25,724,1.06,M,-
