#ID RA          DEC
  1 065.6765417 -12.6140389
  2 066.2602083 -14.6163667
  3 066.5462917 -12.6751167
  4 066.9134583 -11.7259083
  5 066.9366250 -12.0337944
  6 067.0195417 -14.7636361
  7 067.1884583 -12.5088111
  8 067.2489167 -12.2249139
  9 067.3167917 -12.8819528
 10 067.3615000 -12.5490250
 11 067.3685000 -12.8160278
 12 067.3707500 -12.9632528
 13 067.3805833 -13.3049806
 14 067.4137917 -12.7070778
 15 067.4192083 -12.7588306
 16 067.4221667 -12.9740750
 17 067.4300000 -13.6550861
 18 067.4311250 -13.4869111
 19 067.4359583 -12.8886917
 20 067.4370000 -12.1445333
 21 067.4467083 -12.5041333
 22 067.4539167 -13.2892917
 23 067.4569583 -12.5057278
 24 067.4642500 -12.9556194
 25 067.4648333 -12.6108417
 26 067.4649167 -12.9837139
 27 067.4741250 -12.8533556
 28 067.4783750 -12.0691528
 29 067.4864583 -12.6681278
 30 067.4970417 -13.3291028
 31 067.4986250 -12.4079083
 32 067.5087917 -12.7340944
 33 067.5237917 -14.1971694
 34 067.5345000 -12.9310778
 35 067.5364167 -13.3299139
 36 067.5509583 -12.8483167
 37 067.5540833 -13.4500139
 38 067.5565833 -12.3695417
 39 067.5625000 -13.6306472
 40 067.5734167 -12.9624083
 41 067.5767083 -13.5295694
 42 067.5786667 -13.8035444
 43 067.5821250 -14.1389667
 44 067.5847917 -13.2466583
 45 067.5946250 -12.0574444
 46 067.6026667 -12.8017528
 47 067.6045833 -12.0950861
 48 067.6115417 -13.8739472
 49 067.6127917 -12.1428917
 50 067.6175833 -12.5773944
 51 067.6248750 -12.4604833
 52 067.6319167 -13.9512639
 53 067.6469167 -13.1384083
 54 067.6528750 -12.8464389
 55 067.6561250 -12.1678306
 56 067.6583750 -12.0208278
 57 067.6632083 -12.4231917
 58 067.6855417 -12.5349806
 59 067.6880000 -12.6272889
 60 067.6912917 -13.5580389
 61 067.6961667 -12.9273194
 62 067.7024167 -12.2958444
 63 067.7077083 -13.2076028
 64 067.7173333 -12.5339889
 65 067.7180417 -13.3615250
